"","firm","ticker","netIncome2015","asset2015","asset2014","stock2015","stock2014","ROAA","ROAE","Board","WOB","Sector","State","City","Country","percentWOB"
"33","Microsoft Corporation","MSFT",1.2193e+10,1.74472e+11,1.72384e+11,8.0083e+10,8.9784e+10,7.03,14.36,10,2,"Technology","Washington","Redmond","United States",20
"34","Motorola Solutions, Inc.","MSI",6.1e+08,8.387e+09,1.0423e+10,-1.06e+08,2.735e+09,6.49,46.41,10,2,"Technology","Illinois","Schaumburg","United States",20
"35","NetApp Inc.","NTAP",5.6e+08,9.401e+09,9213800000,3.414e+09,3786500000,6.02,15.55,10,1,"Technology","California","Sunnyvale","United States",10
"36","NVIDIA Corporation","NVDA",6.31e+08,7.201e+09,7250894000,4.418e+09,4456398000,8.73,14.22,12,2,"Technology","California","Santa Clara","United States",17
"37","Oracle Corporation","ORCL",9.938e+09,1.10903e+11,9.0266e+10,4.8663e+10,4.6878e+10,9.88,20.8,12,2,"Technology","California","Redwood City","United States",17
"38","Qualcomm, Inc.","QCOM",5.271e+09,5.0796e+10,4.8574e+10,3.1421e+10,3.9169e+10,10.61,14.93,15,3,"Technology","California","San Diego","United States",20
"39","Red Hat, Inc.","RHT",180201000,3784569000,3106619000,1288338000,1551165000,5.23,12.69,10,2,"Technology","North Carolina","Raleigh","United States",20
"40","Salesforce.com","CRM",-262688000,10665127000,9152930000,3975183000,3038510000,-2.65,-7.49,11,2,"Technology","California","San Francisco","United States",18
"41","Skyworks Solutions, Inc.","SWKS",798300000,3719400000,2973800000,3159200000,2532400000,23.85,28.05,8,1,"Technology","Massachusetts","Woburn","United States",12
"42","Symantec Corporation","SYMC",8.78e+08,1.3233e+10,1.3539e+10,5.935e+09,5.797e+09,6.56,14.97,9,3,"Technology","California","Mountain View","United States",33
"43","Teradata Corporation","TDC",-2.14e+08,2.53e+09,3.132e+09,8.49e+08,1.707e+09,-7.56,-16.74,11,2,"Technology","Ohio","Dayton","United States",18
"44","Texas Instruments, Inc.","TXN",2.986e+09,1.623e+10,1.7372e+10,9.946e+09,1.039e+10,17.77,29.37,12,5,"Technology","Texas","Dallas","United States",42
"45","TripAdvisor Inc.","TRIP",1.98e+08,2.128e+09,1.948e+09,1.412e+09,1.125e+09,9.72,15.61,9,1,"Technology","Massachusetts","Newton","United States",11
"46","VeriSign, Inc.","VRSN",375236000,2357737000,1901150000,-1070447000,-883466000,17.62,-38.41,7,2,"Technology","Virginia","Reston","United States",29
"47","Western Digital Corporation","WDC",1.465e+09,1.517e+10,1.5499e+10,9.219e+09,8.842e+09,9.55,16.22,9,2,"Technology","California","Irvine","United States",22
"48","Xerox Corporation","XRX",4.74e+08,2.4817e+10,2.7658e+10,9.074e+09,1.0678e+10,1.81,4.8,9,4,"Technology","Connecticut","Norwalk","United States",44
"49","Xilinx, Inc.","XLNX",648216000,4898065000,5037349000,2611594000,2752682000,13.05,24.17,7,1,"Technology","California","San Jose","United States",14
"50","Yahoo! Inc.","YHOO",-4359082000,45203966000,61707336000,29043537000,38741837000,-8.15,-12.86,9,4,"Technology","California","Sunnyvale","United States",44
